time,Region,Y.h,Yce.h,Yre.h
1980,N,179.13159,159.32263,11.54717
1981,N,175.1444,152.16406,11.7777
1982,N,170.32514,146.84613,12.18167
1983,N,170.06146,144.96952,12.79971
1984,N,177.70385,151.0697,12.79415
1985,N,180.30015,151.80986,12.72211
1986,N,182.39464,152.83024,12.70187
1987,N,187.58807,157.07625,12.61498
1988,N,193.59504,161.51113,12.75203
1989,N,197.71464,165.11354,13.16608
1990,N,198.58951,165.24043,13.80505
1991,N,200.84913,166.39519,14.07729
1992,N,202.96711,168.10663,14.02732
1993,N,206.56748,170.45134,14.76932
1994,N,210.11139,173.65999,14.37935
1995,N,215.09526,176.87682,15.33516
1996,N,222.08474,182.74143,15.81356
1997,N,224.60868,185.47665,15.97943
1998,N,225.11225,185.93911,15.67131
1999,N,229.3617,189.22768,15.95374
2000,N,233.69461,192.98103,16.1267
2001,N,232.26539,192.04625,15.50146
2002,N,234.10775,193.50037,15.8446
2003,N,236.54118,196.53336,15.63608
2004,N,241.93536,200.22284,15.8917
2005,N,243.17926,201.03896,16.21287
2006,N,243.77531,200.97911,16.6351
2007,N,245.44117,203.14926,16.72834
2008,N,242.64141,199.23592,17.67327
2009,N,231.75972,188.31102,18.01618
2010,N,239.96084,195.11442,19.0287
2011,N,238.70837,193.36347,20.29341
2012,N,235.20455,191.67575,20.7229
1980,S,104.01576,96.36098,6.67226
1981,S,105.77691,98.00371,6.8222
1982,S,110.20741,101.83821,6.98231
1983,S,114.2764,105.26969,7.37859
1984,S,121.96677,111.88874,7.93441
1985,S,127.78701,117.00607,8.23651
1986,S,133.37831,122.32772,8.72465
1987,S,138.01613,126.49823,8.86221
1988,S,144.50476,132.18032,9.34784
1989,S,146.15249,133.41735,9.66206
1990,S,148.39348,135.29369,10.07709
1991,S,147.24679,133.83355,10.38772
1992,S,144.83212,131.49975,10.43596
1993,S,136.05668,122.20609,10.95539
1994,S,145.93616,131.55962,11.70014
1995,S,149.41576,134.58298,12.01942
1996,S,151.68745,136.48107,12.08742
1997,S,152.10898,136.67025,12.28473
1998,S,153.75393,137.94619,12.70846
1999,S,157.71327,141.44322,13.0922
2000,S,164.58135,147.77238,13.37131
2001,S,168.32101,150.71623,14.00303
2002,S,173.93241,155.99278,14.0358
2003,S,184.91465,166.40439,14.39375
2004,S,199.38677,179.5774,15.65745
2005,S,211.97026,191.05709,16.83939
2006,S,223.78751,201.89607,17.63932
2007,S,233.29148,210.38815,18.43023
2008,S,243.07666,219.21279,19.30596
2009,S,248.24509,223.73491,19.97359
2010,S,268.15905,241.19957,21.96776
2011,S,281.56377,254.24471,22.82882
2012,S,288.87128,260.67718,24.34822
